Antibiotic,Amoxicillin,Ampicillin,Aztreonam,Cefaclor,Cefadroxil,Cefamandole,Cefamet,Cefatrizine,Cefazolin,Cefdinir,Cefditoren,Cefepime,Cefiderocol,Cefixime,Cefodizime,Cefonicid,Cefoperazone,Ceforamide,Cefotaxime,Cefotetan,Cefotiam,Cefoxitin,Cefpirome,Cefpodoxime,Cefprozil,Cefradine,Ceftaroline,Ceftazidime,Ceftezole,Ceftibuten,Ceftizoxime,Ceftobiprole,Ceftolozane,Ceftriaxone,Cefuroxime,Cephalexin,Cephalothin,Cephapirin,Dicloxacillin,Ertapenem,Feneticillin,Flucloxacillin,Imipenem,Loracarbef,Meropenem,Nafcillin,Oxacillin,Penicillin G,Penicillin V,Piperacillin,Pivmecillinam
Amoxicillin,-1,3,3,3,3,3,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,3,1,3,3,1,2,1,1,3,3,3,3,3,1,2,1,1,2,1,1,1,1,1,4,4,4,1
Ampicillin,3,-1,3,3,3,3,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,3,1,3,3,1,2,1,1,3,3,3,3,3,1,2,0,0,1,0,1,0,1,1,3,3,3,1
Aztreonam,3,3,-1,3,3,3,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,3,1,3,3,1,2,1,1,3,3,3,3,3,1,2,1,1,1,1,1,1,1,1,3,3,3,1
Cefaclor,3,3,3,-1,3,3,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,3,1,3,3,1,2,1,1,3,3,3,3,3,1,2,1,1,1,1,1,1,1,1,3,3,3,1
Cefadroxil,3,3,3,3,-1,3,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,3,1,3,3,1,2,1,1,3,3,3,3,3,1,2,0,0,1,0,1,0,1,1,3,3,3,1
Cefamandole,3,3,3,3,3,-1,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,3,1,3,3,1,2,1,1,3,3,3,3,3,1,2,1,1,1,1,1,1,1,1,3,3,3,1
Cefamet,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1
Cefatrizine,2,2,2,2,2,2,1,-1,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,1,0,2,2,2,2,2,1,2,0,0,1,0,1,0,1,1,2,2,2,1
Cefazolin,3,3,3,3,3,3,1,2,-1,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,3,1,3,3,1,2,1,1,3,3,3,3,3,1,2,1,1,1,1,1,1,1,1,3,3,3,1
Cefdinir,2,2,2,2,2,2,0,1,2,-1,1,2,1,2,1,1,1,0,2,2,0,2,1,1,2,0,2,2,1,2,0,1,2,2,2,2,2,1,1,0,0,0,0,0,0,1,1,2,2,2,0
Cefditoren,2,2,2,2,2,2,1,2,2,1,-1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,1,0,2,2,2,2,2,1,2,0,0,1,0,1,0,1,1,2,2,2,1
Cefepime,3,3,3,3,3,3,1,2,3,2,2,-1,2,3,2,2,2,1,3,2,1,3,2,2,3,1,3,3,1,2,1,1,3,3,3,3,3,1,2,1,1,1,1,1,1,1,1,3,3,3,1
Cefiderocol,2,2,2,2,2,2,1,2,2,1,2,2,-1,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,1,0,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1
Cefixime,3,3,3,3,3,3,1,2,3,2,2,3,2,-1,2,2,2,1,3,2,1,3,2,2,3,1,3,3,1,2,1,1,3,3,3,3,3,1,2,0,0,1,0,1,0,1,1,3,3,3,1
Cefodizime,2,2,2,2,2,2,1,2,2,1,2,2,2,2,-1,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,1,0,2,2,2,2,2,1,2,0,0,1,0,1,0,1,1,2,2,2,1
Cefonicid,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,-1,2,1,2,1,1,2,2,2,2,1,2,2,1,2,1,0,2,2,2,2,2,1,2,0,0,1,0,1,0,1,1,2,2,2,1
Cefoperazone,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,-1,1,2,1,1,2,2,2,2,1,2,2,1,2,1,0,2,2,2,2,2,1,2,0,0,1,0,1,0,1,1,2,2,2,1
Ceforamide,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1
Cefotaxime,3,3,3,3,3,3,1,2,3,2,2,3,2,3,2,2,2,1,-1,2,1,3,2,2,3,1,3,3,1,2,1,1,3,3,3,3,3,1,2,1,1,1,1,1,1,1,1,3,3,3,1
Cefotetan,2,2,2,2,2,2,0,1,2,2,1,2,1,2,1,1,1,0,2,-1,0,2,1,1,2,0,2,2,1,1,0,1,2,2,2,2,2,1,1,0,0,0,0,0,0,1,1,2,2,2,0
Cefotiam,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1
Cefoxitin,3,3,3,3,3,3,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,-1,2,2,3,1,3,3,1,2,1,1,3,3,3,3,3,1,2,0,0,1,0,1,0,1,1,3,3,3,1
Cefpirome,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,-1,2,2,1,2,2,1,2,1,0,2,2,2,2,2,1,2,0,0,1,0,1,0,1,1,2,2,2,1
Cefpodoxime,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,-1,2,1,2,2,1,2,1,0,2,2,2,2,2,1,2,0,0,1,0,1,0,1,1,2,2,2,1
Cefprozil,3,3,3,3,3,3,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,-1,1,3,3,1,2,1,1,3,3,3,3,3,1,2,0,0,1,0,1,0,1,1,3,3,3,1
Cefradine,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1
Ceftaroline,3,3,3,3,3,3,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,3,1,-1,3,1,2,1,1,3,3,3,3,3,1,2,1,1,1,1,1,1,1,1,3,3,3,1
Ceftazidime,3,3,3,3,3,3,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,3,1,3,-1,1,2,1,1,3,3,3,3,3,1,2,1,1,1,1,1,1,1,1,3,3,3,1
Ceftezole,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,-1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0
Ceftibuten,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,-1,1,0,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1
Ceftizoxime,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1
Ceftobiprole,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Ceftolozane,3,3,3,3,3,3,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,3,1,3,3,1,2,1,1,-1,3,3,3,3,1,2,1,1,1,1,1,1,1,1,3,3,3,1
Ceftriaxone,3,3,3,3,3,3,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,3,1,3,3,1,2,1,1,3,-1,3,3,3,1,2,1,1,1,1,1,1,1,1,3,3,3,1
Cefuroxime,3,3,3,3,3,3,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,3,1,3,3,1,2,1,1,3,3,-1,3,3,1,2,1,1,1,1,1,1,1,1,3,3,3,1
Cephalexin,3,3,3,3,3,3,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,3,1,3,3,1,2,1,1,3,3,3,-1,3,1,2,1,1,1,1,1,1,1,1,3,3,3,1
Cephalothin,3,3,3,3,3,3,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,3,1,3,3,1,2,1,1,3,3,3,3,-1,1,2,1,1,1,1,1,1,1,1,3,3,3,1
Cephapirin,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,-1,1,0,0,0,0,0,0,1,1,1,1,1,0
Dicloxacillin,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,1,0,2,2,2,2,2,1,-1,0,0,1,0,1,0,1,1,2,2,2,1
Ertapenem,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,-1,1,1,1,0,1,0,0,1,1,1,0
Feneticillin,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,-1,1,1,0,1,0,0,1,1,1,0
Flucloxacillin,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,-1,1,1,1,0,0,2,2,2,1
Imipenem,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,-1,0,1,0,0,1,1,1,0
Loracarbef,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,-1,0,0,0,1,1,1,1
Meropenem,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,-1,0,0,1,1,1,0
Nafcillin,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,-1,1,1,1,1,0
Oxacillin,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,-1,1,1,1,0
Penicillin G,4,3,3,3,3,3,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,3,1,3,3,1,2,1,1,3,3,3,3,3,1,2,1,1,2,1,1,1,1,1,-1,4,4,1
Penicillin V,4,3,3,3,3,3,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,3,1,3,3,1,2,1,1,3,3,3,3,3,1,2,1,1,2,1,1,1,1,1,4,-1,4,1
Piperacillin,4,3,3,3,3,3,1,2,3,2,2,3,2,3,2,2,2,1,3,2,1,3,2,2,3,1,3,3,1,2,1,1,3,3,3,3,3,1,2,1,1,2,1,1,1,1,1,4,4,-1,1
Pivmecillinam,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,-1
